race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Block Island Course,PHRF,Class 7 PHRF,3,5,Summer Grace,USA12235,J/122,Kevin Kelley,27.0,AOK,2026-05-23T21:28:02.000Z,117782.0,132681.0,32:43:02,36:51:21,2026-05-23 21:28:02,
1,Block Island Course,PHRF,Class 7 PHRF,4,7,Fireball,USA16,J/111,Bill & Jackie Baxter,24.0,AOK,2026-05-23T21:29:46.000Z,117886.0,133494.0,32:44:46,37:04:54,2026-05-23 21:29:46,
1,Block Island Course,PHRF,Class 7 PHRF,5,21,Comet,USA 43600,J44,United States Merchant Marine Academy,27.0,AOK,2026-05-23T23:30:37.000Z,125137.0,140967.0,34:45:37,39:09:27,2026-05-23 23:30:37,
1,Block Island Course,PHRF,Class 7 PHRF,6,23,Scylla,USA60739,Dehler 46,Markus Lahrkamp,15.0,AOK,2026-05-24T00:50:53.000Z,129953.0,149498.0,36:05:53,41:31:38,2026-05-24 00:50:53,
1,Block Island Course,PHRF,Class 9 PHRF,1,9,Oakcliff Farr 40 Blue,USA51990,Farr 40 Turbo,Oakcliff Sailing,-6.0,AOK,2026-05-23T20:30:40.000Z,113140.0,135191.0,31:25:40,37:33:11,2026-05-23 20:30:40,
1,Block Island Course,PHRF,Class 9 PHRF,2,18,Oakcliff Farr 40 Red,USA46597,Farr 40,Oakcliff Sailing,-6.0,AOK,2026-05-23T21:35:27.000Z,117027.0,139836.0,32:30:27,38:50:36,2026-05-23 21:35:27,
1,Block Island Course,PHRF,Class 9 PHRF,3,20,Max,USA75050,Pogo 50,Moritz Hilf,-18.0,AOK,2026-05-23T20:57:12.000Z,114732.0,140180.0,31:52:12,38:56:20,2026-05-23 20:57:12,
1,Block Island Course,PHRF,Class 10 MultiHull,2,25,Daffodil,167,Corsair F31R,Alex Watson,,DNC,,,,,,,DNC
1,Block Island Course-Cows Finish,ORC,Class 13 ORC-CF,1,1,Lucky,USA 2872,Juan K 88,Bryon Ehrhart,1.5674,AOK,2026-05-23T10:28:57.000Z,75837.0,118867.0,21:03:57,33:01:07,2026-05-23 10:28:57,
1,Plum Island Course,PHRF,Class 3 PHRF-PI,1,1,MXM,B36,Bavaria 36,Roman Brushtein,123.0,AOK,2026-05-23T23:26:14.000Z,126674.0,122342.0,35:11:14,33:59:02,2026-05-23 23:26:14,
1,Plum Island Course,PHRF,Class 3 PHRF-PI,3,3,Towhee,USA1781,Cal 40,Paul Jennings,,RET,,,,,,,RET
